f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,label
1.0,0.0,0.0,0.0,0.0,0.0,0.8802230358123779,0.6929069010416666,-0.18125,0.14583333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.2507030665874481,0.1547265625,-0.6375,0.5291666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,AVOID_PERSON
1.0,0.0,0.0,0.0,0.0,0.0,0.3275962471961975,0.9901204427083333,-0.009375,-0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,CHECK_TABLE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CHECK_TABLE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,MOVE_TO_CHAIR
1.0,0.0,0.0,0.0,0.0,0.0,0.2547389268875122,0.09653645833333334,0.859375,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,MOVE_TO_CHAIR
0.0,0.0,0.0,0.0,0.0,1.0,0.45605340600013733,0.5915364583333333,-0.259375,0.1875,0.0,0.0,0.0,0.0,0.0,1.0,0.7507683634757996,0.021748046875,-0.159375,-0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,MOVE_TO_CHAIR
0.0,1.0,0.0,0.0,0.0,0.0,0.38999658823013306,0.048984375,-0.24375,-0.3625,0.0,0.0,0.0,0.0,0.0,1.0,0.3838447630405426,0.7959765625,0.0875,0.10833333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.25345319509506226,0.044557291666666665,-0.59375,-0.26666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,1.0,CHECK_TABLE
1.0,0.0,0.0,0.0,0.0,0.0,0.8939483165740967,0.7369140625,0.159375,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,EXPLORE
0.0,1.0,0.0,0.0,0.0,0.0,0.6224357485771179,0.041572265625,-0.3,-0.4583333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.2672547698020935,0.7438802083333333,-0.015625,0.17083333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.2604842483997345,0.01931640625,-0.928125,0.725,0.0,0.0,1.0,0.0,0.0,1.0,1.0,MOVE_TO_CHAIR
0.0,1.0,0.0,0.0,0.0,0.0,0.8123500943183899,0.039713541666666664,-0.24375,-0.4625,0.0,1.0,0.0,0.0,0.0,0.0,0.25037869811058044,0.029830729166666667,-0.878125,0.7541666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.31281933188438416,0.69138671875,0.015625,0.17916666666666667,0.0,0.0,0.0,1.0,0.0,1.0,1.0,CHECK_TABLE
1.0,0.0,0.0,0.0,0.0,0.0,0.25440049171447754,0.5036360677083334,-0.496875,-0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,CHECK_TABLE
