f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,label,source_type
0.0,0.0,0.0,0.0,0.0,1.0,0.7568023204803467,0.05933593586087227,-0.7718750238418579,-0.3083333373069763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.5879113078117371,0.05593099072575569,-0.07187499850988388,-0.5666666626930237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.7963563799858093,0.08466796576976776,-0.3499999940395355,-0.40833333134651184,0.0,0.0,0.0,0.0,0.0,1.0,0.6553541421890259,0.0569661445915699,0.012500000186264515,-0.5833333134651184,0.0,0.0,0.0,0.0,0.0,1.0,0.42073139548301697,0.15257813036441803,-0.30937498807907104,-0.012500000186264515,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.5652740001678467,0.07888997346162796,-0.03437500074505806,-0.1458333283662796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
1.0,0.0,0.0,0.0,0.0,0.0,0.7317841649055481,0.15654297173023224,-0.27812498807907104,-0.5249999761581421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,1.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
1.0,0.0,0.0,0.0,0.0,0.0,0.8779518008232117,0.1325390636920929,-0.7562500238418579,-0.44583332538604736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,1.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,1.0,0.0,0.0,0.0,0.0,0.863415539264679,0.17103515565395355,0.5531250238418579,0.5541666746139526,0.0,1.0,0.0,0.0,0.0,0.0,0.46454402804374695,0.13635416328907013,-0.7250000238418579,-0.4791666567325592,0.0,1.0,0.0,0.0,0.0,0.0,0.5111330151557922,0.05781250074505806,-0.828125,-0.10833333432674408,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,MOVE_TO_CHAIR,autolabel_video
