f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,label,source_type
0.0,0.0,0.0,0.0,0.0,1.0,0.5922753810882568,0.8413020968437195,0.125,-0.01666666753590107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,MOVE_TO_CHAIR,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.7321783900260925,0.84427410364151,0.02812499925494194,-0.11666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.581208348274231,0.10366211086511612,-0.7437499761581421,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.5744564533233643,0.09730468690395355,-0.753125011920929,0.3791666626930237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.6153588891029358,0.07415364682674408,-0.7906249761581421,-0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.5574964284896851,0.42472657561302185,-0.18125000596046448,0.09583333134651184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,1.0,0.0,0.0,0.0,0.0,0.2933967411518097,0.022734375670552254,-0.328125,-0.8458333611488342,0.0,0.0,0.0,0.0,0.0,1.0,0.8093645572662354,0.11675781011581421,0.765625,-0.2958333194255829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.0,1.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,1.0,0.0,0.0,0.0,0.0,0.5927534103393555,0.815625011920929,0.02812499925494194,0.06666667014360428,0.0,1.0,0.0,0.0,0.0,0.0,0.6435986161231995,0.2357942759990692,-0.690625011920929,0.21250000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.0,1.0,0.0,0.0,0.0,0.0,MOVE_TO_CHAIR,autolabel_video
0.0,1.0,0.0,0.0,0.0,0.0,0.9268538951873779,0.2958007752895355,-0.637499988079071,0.13750000298023224,0.0,0.0,0.0,0.0,0.0,1.0,0.26976263523101807,0.6524999737739563,0.2718749940395355,0.07083333283662796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.0,1.0,0.0,0.0,0.0,0.0,MOVE_TO_CHAIR,autolabel_video
0.0,1.0,0.0,0.0,0.0,0.0,0.91595059633255,0.3563801944255829,-0.49687498807907104,-0.03750000149011612,0.0,0.0,0.0,0.0,0.0,1.0,0.5956563353538513,0.5920637845993042,0.3218750059604645,0.08749999850988388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.0,1.0,0.0,0.0,0.0,0.0,MOVE_TO_CHAIR,autolabel_video
0.0,1.0,0.0,0.0,0.0,0.0,0.8544342517852783,0.12248372286558151,-0.4749999940395355,-0.4583333432674408,0.0,1.0,0.0,0.0,0.0,0.0,0.6982959508895874,0.034882813692092896,0.3375000059604645,-0.7583333253860474,0.0,1.0,0.0,0.0,0.0,0.0,0.5489043593406677,0.08085937798023224,-0.7906249761581421,-0.5166666507720947,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,MOVE_TO_CHAIR,autolabel_video
